match_year,tournament,matches,avg_total_goals,avg_goal_margin,home_win_rate,away_win_rate,draw_rate,neutral_match_rate,fifa_feature_coverage,external_feature_coverage
1928,Muratti Vase,2,3.5,2.5,1.0,0.0,0.0,0.0,0.0,0.0
1928,Nordic Championship,3,5.333,2.667,0.667,0.333,0.0,0.0,0.0,1.0
1928,Olympic Games,22,5.818,3.0,0.818,0.045,0.136,0.864,0.0,0.909
1929,Balkan Cup,1,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1929,Baltic Cup,3,5.0,1.667,0.667,0.0,0.333,0.333,0.0,0.333
1929,British Home Championship,6,5.0,2.667,0.333,0.5,0.167,0.0,0.0,1.0
1929,Central European International Cup,7,4.857,2.286,0.429,0.429,0.143,0.0,0.0,0.429
1929,Copa América,4,3.75,3.25,1.0,0.0,0.0,0.5,0.0,1.0
1929,Copa Lipton,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1929,Copa Newton,1,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
1929,Friendly,43,4.605,2.279,0.558,0.256,0.186,0.0,0.0,0.814
1929,Muratti Vase,2,6.5,5.5,0.5,0.5,0.0,0.0,0.0,0.0
1929,Nordic Championship,6,5.167,3.167,0.833,0.167,0.0,0.0,0.0,1.0
1930,Balkan Cup,5,6.0,3.6,0.8,0.2,0.0,0.0,0.0,0.6
1930,Baltic Cup,3,4.667,0.667,0.667,0.0,0.333,0.333,0.0,1.0
1930,British Home Championship,6,5.0,3.333,0.667,0.167,0.167,0.0,0.0,1.0
1930,Central American and Caribbean Games,3,7.667,5.667,0.667,0.333,0.0,1.0,0.0,0.667
1930,Central European International Cup,1,5.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0
1930,Copa Newton,1,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1930,FIFA World Cup,18,3.889,2.667,0.611,0.389,0.0,0.778,0.0,0.556
1930,Far Eastern Championship Games,3,6.667,3.333,0.667,0.0,0.333,0.333,0.0,0.333
1930,Friendly,56,4.089,1.804,0.464,0.268,0.268,0.0,0.0,0.696
1930,Muratti Vase,2,5.0,1.0,0.5,0.5,0.0,0.5,0.0,0.0
1930,Nordic Championship,6,6.667,3.0,0.667,0.167,0.167,0.0,0.0,1.0
1931,Balkan Cup,9,4.556,2.111,0.778,0.222,0.0,0.111,0.0,0.444
1931,Baltic Cup,3,2.333,1.667,1.0,0.0,0.0,0.333,0.0,1.0
1931,British Home Championship,8,4.0,2.0,0.625,0.25,0.125,0.0,0.0,1.0
1931,Central European International Cup,11,4.909,1.636,0.455,0.091,0.455,0.0,0.0,0.636
1931,Copa Chevallier Boutell,2,3.0,1.0,0.5,0.0,0.5,0.0,0.0,1.0
1931,Copa Rio Branco,1,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0
1931,Friendly,54,4.278,2.5,0.574,0.315,0.111,0.037,0.0,0.704
1931,Muratti Vase,2,3.5,1.5,0.5,0.5,0.0,0.5,0.0,0.0
1931,Nordic Championship,6,5.667,2.0,0.667,0.167,0.167,0.0,0.0,1.0
1932,Balkan Cup,6,4.0,2.667,0.667,0.333,0.0,0.5,0.0,0.333
1932,Baltic Cup,3,3.0,1.667,0.667,0.333,0.0,0.333,0.0,0.667
1932,British Home Championship,6,3.333,2.333,0.5,0.333,0.167,0.0,0.0,1.0
1932,Central European International Cup,9,3.333,1.556,0.778,0.0,0.222,0.0,0.0,0.556
1932,Copa Rio Branco,1,3.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
1932,Friendly,59,4.153,2.017,0.508,0.407,0.085,0.034,0.0,0.746
1932,Muratti Vase,2,4.0,2.0,1.0,0.0,0.0,0.5,0.0,0.0
1932,Nordic Championship,6,4.167,1.833,0.5,0.5,0.0,0.0,0.0,1.0
1933,Balkan Cup,5,5.2,4.0,0.6,0.4,0.0,0.6,0.0,0.4
1933,Baltic Cup,3,2.333,0.333,0.0,0.333,0.667,0.333,0.0,0.667
1933,British Home Championship,6,3.167,1.167,0.333,0.5,0.167,0.0,0.0,1.0
1933,Central European International Cup,5,3.2,2.4,0.6,0.4,0.0,0.0,0.0,0.8
1933,FIFA World Cup qualification,5,4.2,1.4,0.2,0.4,0.4,0.0,0.0,0.6
1933,Friendly,57,4.018,2.053,0.509,0.263,0.228,0.035,0.0,0.772
1933,Muratti Vase,2,5.5,4.5,1.0,0.0,0.0,0.0,0.0,0.0
1933,Nordic Championship,6,3.333,1.667,0.333,0.5,0.167,0.0,0.0,1.0
1933,Soccer Ashes,3,7.333,2.0,1.0,0.0,0.0,0.0,0.0,1.0
1934,Balkan Cup,4,4.75,0.75,0.25,0.5,0.25,0.5,0.0,0.25
1934,British Home Championship,4,3.75,2.25,0.75,0.25,0.0,0.0,0.0,1.0
1934,Central European International Cup,7,4.286,1.143,0.286,0.286,0.429,0.0,0.0,0.571
1934,FIFA World Cup,17,4.118,1.529,0.588,0.353,0.059,0.706,0.0,0.412
1934,FIFA World Cup qualification,19,5.632,3.316,0.474,0.421,0.105,0.105,0.0,0.789
1934,Far Eastern Championship Games,3,5.333,1.333,0.333,0.667,0.0,0.333,0.0,0.333
1934,Friendly,40,4.675,1.525,0.45,0.325,0.225,0.0,0.0,0.65
1934,Muratti Vase,2,2.0,2.0,0.5,0.5,0.0,0.0,0.0,0.0
1934,Nordic Championship,6,6.0,1.333,0.667,0.167,0.167,0.0,0.0,1.0
